Tweet,Target,Stance,stance_pred,target_pred
@TPM @realDonaldTrump this is what happens when you open your big mouth. You're out of luck for 2016 at this rate. #Univision #SemST,Donald Trump,AGAINST,AGAINST,Donald Trump
"For the record, as a #Latino, (#Peruvian to be specific), let me state the obvious: #FuckTrump #SemST",Donald Trump,AGAINST,AGAINST,Donald Trump
"...And of course, God bless America!! #tcot  #teaparty  #SemST",Donald Trump,NONE,NONE,Hillary Clinton
@people @KimKardashian I dont even have to read this 2 know who she would want 4 the next president. #Killary #SemST,Donald Trump,AGAINST,AGAINST,Hillary Clinton
Watching what Donald Trump said about Mexicans was shocking! Let's not give this appalling man a platform. #SemST,Donald Trump,AGAINST,AGAINST,Donald Trump
@HillaryClinton is opening 10 more offices in Iowa this week.  She's not playing around! #iacaucus #SemST,Hillary Clinton,AGAINST,FAVOR,Hillary Clinton
@realDonaldTrump Just want to say thank you for not pandering to the pc police! #richforareason #nofear #SemST,Donald Trump,FAVOR,FAVOR,Donald Trump
"Republican on facebook said :If it comes down to a choice between Donald Trump and Hillary,  I'm not voting! #SemST",Hillary Clinton,AGAINST,AGAINST,Donald Trump
"@WoodenThreat @ProudInfidel33 ""@HillaryClinton can't even manage @billclinton and she wants to be @POTUS"" #lol #SemST",Hillary Clinton,AGAINST,AGAINST,Hillary Clinton
@StarCoreOne02 @DrMartyFox Is it still 1992? We must be watching Back To The Future 10.0 #SemST,Hillary Clinton,NONE,NONE,Hillary Clinton
"@RMConservative @DagnyRed ,P.C. is out of control,stop being offended ,we are a country of free thinkers,#1A #SemST",Donald Trump,NONE,NONE,Hillary Clinton
Much like you good people I forgot about my #livetweetingbladerunner a couple weeks ago #callback #potroast #cartography #blue #SemST,Hillary Clinton,NONE,NONE,Hillary Clinton
If you condone the #SupremeCourt's decision on the marriage issue! You might be a liberal!!  #SemST,Donald Trump,NONE,FAVOR,Hillary Clinton
@realDonaldTrump Making America a Nationalism society #SemST,Donald Trump,FAVOR,AGAINST,Donald Trump
DID YOU KNOW that the U.S Constitution is now under full pledge attack by the Obama tyrant administration? #WethePeople #SemST,Donald Trump,AGAINST,NONE,Hillary Clinton
